description,expense_category,budget_subcategory,product_type
SERVICIO DE GASTOS DE ENTREGA DIESEL,Costo de Venta,FLETE DIESEL,SERVICIO
EQUIPO DE COMPUTO (ACTIVOFIJO),Depreciaciones y Amortizaciones,Depreciación de equipo de cómputo,PRODUCTO
MOBILIARIO Y EQUIPO,Depreciaciones y Amortizaciones,Depreciación de mobiliario y eq de ofic,PRODUCTO
OTROS EQUIPOS Y MOB,Depreciaciones y Amortizaciones,Depreciación de mobiliario y eq de ofic,PRODUCTO
TRASLADO,Gastos de Operacion,Traslado de Valores,SERVICIO
TRASLADO DE VALORES,Gastos de Operacion,Traslado de Valores,SERVICIO
TARJETAS DE PRESENTACION,Gastos de Operacion,Papelería y artículos de oficina,PRODUCTO
SELLOS,Gastos de Operacion,Papelería y artículos de oficina,PRODUCTO
COSTO MARKETING,Gastos de Operacion,Propaganda y publicidad,PRODUCTO
ASESORIA LEGAL PM,Gastos de Operacion,Honorarios Legales P.M.,SERVICIO
ASESORIA LEGAL PF,Gastos de Operacion,Honorarios Legales P.F.,SERVICIO
HONORARIOS ADMINISTRATIVOS PM,Gastos de Operacion,Honorarios Administrativos P.M.,SERVICIO
HONORARIOS ADMINISTRATIVOS PF,Gastos de Operacion,Honorarios Administrativos P.F.,SERVICIO
ASESORIA FISCAL PM,Gastos de Operacion,Honorarios Legales P.M.,SERVICIO
GASTOS ADMINISTRATIVOS Y NOTARIALES,Gastos de Operacion,Honorarios Administrativos P.M.,PRODUCTO
SERVICIOS MEDICOS,Gastos de Operacion,Seguros y fianzas,SERVICIO
SERVICIOS ADMINISTRATIVOS,Gastos de Operacion,Servicios Administrativos,SERVICIO
TARJETAS PVC ZEBRA MAGNETICA,Gastos de Operacion,Papelería y artículos de oficina,PRODUCTO
ROLLO TERMICO,Gastos de Operacion,Papelería y artículos de oficina,PRODUCTO
SERVICIO DE PUBLICIDAD,Gastos de Operacion,Propaganda y publicidad,SERVICIO
TINTA HP,Gastos de Operacion,Papelería y artículos de oficina,PRODUCTO
PLANOS,Gastos de Operacion,Honorarios de Consultoria,PRODUCTO
CURSOS,Gastos de Operacion,Capacitación al personal,PRODUCTO
PAQUETERIA Y MENSAJERIA,Gastos de Operacion,Fletes Mensajeria,PRODUCTO
ASESORIA P.F.,Gastos de Operacion,Honorarios Administrativos P.F.,SERVICIO
CONVIVIOS,Gastos de Operacion,Eventos,PRODUCTO
SERVICIOS WEB,Gastos de Operacion,Asesoría en sistemas,SERVICIO
MISTERY,Gastos de Operacion,Servicios Administrativos,PRODUCTO
SUSCRIPCIONES,Gastos de Operacion,"Licencias, Software, Antivirus",PRODUCTO
TIMBRADO CFDI,Gastos de Operacion,Timbrado Facturas,SERVICIO
LICENCIAS Y PERMISOS,Gastos de Operacion,Licencias y Permisos,SERVICIO
SEGUROS PERSONAL,Gastos de Operacion,Seguros y fianzas,SERVICIO
GASTOS DE VIAJE,Gastos de Operacion,Viáticos y gastos de viaje,PRODUCTO
OTROS SERVICIOS,Gastos de Operacion,Otros Gastos,SERVICIO
SERVICIO DE SEGURIDAD,Gastos de Operacion,Vigilancia y seguridad,SERVICIO
OTROS GASTOS,Gastos de Operacion,Otros Gastos,PRODUCTO
LICENCIAMIENTOS SOFTWARES,Gastos de Operacion,"Licencias, Software, Antivirus",PRODUCTO
HONORARIOS AL CONSEJO DE ADMON,Gastos de Operacion,Honorarios de Consultoria,SERVICIO
HONORARIOS LEGALES PF,Gastos de Operacion,Honorarios Legales P.F.,SERVICIO
HONORARIOS FISCALES P.F.,Gastos de Operacion,Honorarios Legales P.F.,SERVICIO
